#---it--------t----------dt-------rhomax--------rhom----------urms-----umax-----ruy2m------jmax------jrms------brms------amax-----Azmid_max-----Azmid_ymax-------azpt----------azp2-----
 220000     2.34634    1.065E-05  0.0060  1.001561847979307  0.03774  0.30121  0.000595 3.154E+02 1.595E+01 5.241E-01 1.587E-01  1.734753E-02  1.587032E-01  6.774062E-04  6.774062E-04
 225000     2.39959    1.065E-05  0.0059  1.001561844139641  0.03769  0.30124  0.000589 3.157E+02 1.596E+01 5.233E-01 1.587E-01  1.776723E-02  1.586931E-01  6.733149E-04  6.733149E-04
 230000     2.45283    1.065E-05  0.0059  1.001561849371006  0.03759  0.30114  0.000582 3.159E+02 1.596E+01 5.224E-01 1.587E-01  1.818747E-02  1.586831E-01  6.693099E-04  6.693099E-04
 235000     2.50608    1.065E-05  0.0059  1.001561849501865  0.03744  0.30076  0.000577 3.160E+02 1.595E+01 5.215E-01 1.587E-01  1.860802E-02  1.586731E-01  6.652844E-04  6.652844E-04
 240000     2.55933    1.065E-05  0.0059  1.001561848874257  0.03724  0.30033  0.000572 3.160E+02 1.594E+01 5.206E-01 1.587E-01  1.902866E-02  1.586631E-01  6.611469E-04  6.611469E-04
 245000     2.61257    1.065E-05  0.0059  1.001561851902877  0.03699  0.29954  0.000567 3.159E+02 1.593E+01 5.197E-01 1.587E-01  1.944940E-02  1.586531E-01  6.568609E-04  6.568609E-04
 250000     2.66582    1.065E-05  0.0059  1.001561850534014  0.03668  0.29886  0.000562 3.158E+02 1.590E+01 5.188E-01 1.586E-01  1.987005E-02  1.586431E-01  6.523995E-04  6.523995E-04
 255000     2.71907    1.065E-05  0.0059  1.001561852304569  0.03633  0.29784  0.000558 3.155E+02 1.588E+01 5.179E-01 1.586E-01  2.029045E-02  1.586332E-01  6.477966E-04  6.477966E-04
 260000     2.77233    1.065E-05  0.0059  1.001561851500162  0.03592  0.29692  0.000554 3.152E+02 1.585E+01 5.171E-01 1.586E-01  2.071043E-02  1.586232E-01  6.430581E-04  6.430581E-04
 265000     2.82558    1.065E-05  0.0059  1.001561852353833  0.03547  0.29579  0.000551 3.148E+02 1.582E+01 5.162E-01 1.586E-01  2.113002E-02  1.586132E-01  6.382527E-04  6.382527E-04
 270000     2.87884    1.065E-05  0.0059  1.001561853227579  0.03498  0.29474  0.000547 3.143E+02 1.578E+01 5.154E-01 1.586E-01  2.154915E-02  1.586033E-01  6.334375E-04  6.334375E-04
 275000     2.93210    1.065E-05  0.0059  1.001561853798026  0.03445  0.29348  0.000544 3.138E+02 1.574E+01 5.145E-01 1.586E-01  2.196769E-02  1.585934E-01  6.286515E-04  6.286515E-04
 280000     2.98536    1.065E-05  0.0058  1.001561856482624  0.03389  0.29244  0.000541 3.134E+02 1.570E+01 5.137E-01 1.586E-01  2.238560E-02  1.585834E-01  6.239640E-04  6.239640E-04
 285000     3.03862    1.065E-05  0.0058  1.001561859801792  0.03329  0.29219  0.000538 3.129E+02 1.567E+01 5.128E-01 1.586E-01  2.280295E-02  1.585735E-01  6.194454E-04  6.194454E-04
 290000     3.09188    1.065E-05  0.0058  1.001561861732303  0.03267  0.29229  0.000535 3.124E+02 1.563E+01 5.120E-01 1.586E-01  2.321972E-02  1.585636E-01  6.151062E-04  6.151062E-04
 295000     3.14514    1.065E-05  0.0058  1.001561872164425  0.03202  0.29235  0.000531 3.119E+02 1.559E+01 5.112E-01 1.586E-01  2.363581E-02  1.585537E-01  6.110022E-04  6.110022E-04
 300000     3.19840    1.065E-05  0.0058  1.001561868854640  0.03135  0.29235  0.000527 3.115E+02 1.555E+01 5.103E-01 1.585E-01  2.405126E-02  1.585438E-01  6.071297E-04  6.071297E-04
 305000     3.25167    1.065E-05  0.0058  1.001561875158467  0.03066  0.29229  0.000522 3.111E+02 1.551E+01 5.095E-01 1.585E-01  2.446616E-02  1.585340E-01  6.035172E-04  6.035172E-04
 310000     3.30493    1.065E-05  0.0058  1.001561876176855  0.02996  0.29209  0.000516 3.106E+02 1.547E+01 5.087E-01 1.585E-01  2.488043E-02  1.585241E-01  6.001408E-04  6.001408E-04
 315000     3.35819    1.065E-05  0.0058  1.001561878353779  0.02925  0.29194  0.000509 3.102E+02 1.543E+01 5.079E-01 1.585E-01  2.529403E-02  1.585142E-01  5.970193E-04  5.970193E-04
 320000     3.41145    1.065E-05  0.0058  1.001561884007079  0.02855  0.29149  0.000501 3.098E+02 1.539E+01 5.071E-01 1.585E-01  2.570709E-02  1.585044E-01  5.941276E-04  5.941276E-04
 325000     3.46472    1.065E-05  0.0058  1.001561885871631  0.02786  0.29119  0.000492 3.094E+02 1.535E+01 5.063E-01 1.585E-01  2.611963E-02  1.584946E-01  5.914223E-04  5.914223E-04
 330000     3.51798    1.065E-05  0.0058  1.001561891047004  0.02720  0.29066  0.000483 3.090E+02 1.531E+01 5.055E-01 1.585E-01  2.653158E-02  1.584847E-01  5.889050E-04  5.889050E-04
 335000     3.57125    1.065E-05  0.0058  1.001561892996651  0.02660  0.29032  0.000474 3.087E+02 1.527E+01 5.047E-01 1.585E-01  2.694292E-02  1.584749E-01  5.865402E-04  5.865402E-04
 340000     3.62451    1.065E-05  0.0058  1.001561896371594  0.02605  0.28982  0.000464 3.083E+02 1.523E+01 5.039E-01 1.585E-01  2.735381E-02  1.584651E-01  5.843030E-04  5.843030E-04
 345000     3.67778    1.065E-05  0.0058  1.001561899006598  0.02558  0.28954  0.000455 3.080E+02 1.520E+01 5.031E-01 1.585E-01  2.776429E-02  1.584552E-01  5.821655E-04  5.821655E-04
 350000     3.73105    1.065E-05  0.0058  1.001561900597496  0.02520  0.28907  0.000447 3.077E+02 1.516E+01 5.023E-01 1.584E-01  2.817431E-02  1.584454E-01  5.801292E-04  5.801292E-04
 355000     3.78431    1.065E-05  0.0057  1.001561903074999  0.02490  0.28878  0.000439 3.074E+02 1.513E+01 5.015E-01 1.584E-01  2.858385E-02  1.584356E-01  5.781628E-04  5.781628E-04
 360000     3.83758    1.065E-05  0.0057  1.001561905987242  0.02469  0.28842  0.000433 3.072E+02 1.510E+01 5.008E-01 1.584E-01  2.899311E-02  1.584258E-01  5.762591E-04  5.762591E-04
 365000     3.89085    1.065E-05  0.0057  1.001561906090698  0.02457  0.28814  0.000427 3.070E+02 1.507E+01 5.000E-01 1.584E-01  2.940209E-02  1.584160E-01  5.744054E-04  5.744054E-04
 370000     3.94412    1.065E-05  0.0057  1.001561913256270  0.02454  0.28779  0.000421 3.067E+02 1.505E+01 4.991E-01 1.584E-01  2.981072E-02  1.584062E-01  5.726256E-04  5.726256E-04
 375000     3.99739    1.065E-05  0.0057  1.001561908040292  0.02457  0.28734  0.000416 3.065E+02 1.502E+01 4.983E-01 1.584E-01  3.021906E-02  1.583965E-01  5.708644E-04  5.708644E-04
 380000     4.05066    1.065E-05  0.0057  1.001561911459450  0.02466  0.28685  0.000412 3.063E+02 1.500E+01 4.975E-01 1.584E-01  3.062721E-02  1.583867E-01  5.691576E-04  5.691576E-04
 385000     4.10393    1.065E-05  0.0057  1.001561908813901  0.02480  0.28621  0.000408 3.061E+02 1.497E+01 4.967E-01 1.584E-01  3.103508E-02  1.583769E-01  5.674827E-04  5.674827E-04
